//,이벤트 ID,이벤트 이름,메인 이벤트인지,이벤트 난이도,프리팹 ID,사용TextID,수락시 다음 이벤트,무시시 다음 이벤트,추가 데이터,
//,Int,String,bool,enum,Int,List<int>,Int,Int,Int,
//,이벤트의 ID,이벤트 이름을 표기,해당 이벤트가 후속인지 아닌지,해당 이벤트의 난이도 표기,이벤트 시작할때 사용될,초기에 사용될 텍스트의,해당 이벤트를 통해 무시 혹은 수락을 하였을 경우 다음 이벤트로 넘어갈때,,이벤트마다,"기본 : 토킹 id,나레이션 id"
//,예시),,,1:쉬움,프리팹의 ID를 나타낸다.,ID리스트를 나타낸다.,사용 되는 ID들 표기,,추가적으로 쓰일,"은행 : 적게입금,많이입금"
//,1xxx,,0 : 메인 이벤트 아님,2:중간,,,없을 경우 “-1”로 표기,,Data의 ID를 표기,
//,,,1 : 메인 이벤트임,3:어려움,,,,,데이터 없을경우 0표기,
Header,EventID,Name,IsMainEvent,Level,PrefabID,TextListID,AcceptEventID,IgnoreEventID,ExtraDataID,
//,일반 이벤트,,,,,,,,,
,1001,광고 팝업,1,쉬움,2002,"3003, 3101",1107,,,
,1002,전화 팝업,1,중간,2001,3002,1105,1101,,
,1003,친구의 채팅 팝업,1,중간,2002,"3001, 3105",1104,1101,,
,1004,월세입금 팝업,1,어려움,2002,"3007, 4003",1111,1112,,
,1005,광고전화 팝업,1,쉬움,2001,3003,1113,,,
,1006,택배기사 채팅 팝업,1,중간,2002,3004,1108,,,
,1007,오랜만에 연락한 친구 채팅 팝업,1,중간,2002,3005,1109,,,
,1008,동창회 회장 채팅 팝업,1,중간,2002,3006,1110,,,
,1009,피곤함이벤트,1,쉬움,2006,,,,,
,1010,배터리부족이벤트,1,중간,2007,,,1010,,
,1011,인터넷재연결 이벤트,1,중간,2008,,,1011,,
,,,,,,,,,,
,,,,,,,,,,
//,후속 이벤트들,,,,,,,,,
,1101,통화무시이벤트,0,중간,2001,,,,,
,1102,월세 적게입금한경우 팝업,0,쉬움,2002,4002,,,,
,1103,월세 많이입금한경우 팝업,0,쉬움,2002,4001,,,,
,1104,친구와의 채팅 App 대화,0,중간,2004,3001,,,4001,
,1105,전화 대화,0,중간,2003,3002,,,4025,
,1106,은행업무 이벤트,0,어려움,2005,,,,"1102, 1103","0번쨰 원소 : 적게 입금
1번째 원소 : 많이 입금"
,1107,광고로 인한 채팅 App 이동,0,쉬움,2004,3003,,,10001,
,1108,택배기사와의 채팅 App 대화,0,중간,2004,3004,,,4009,
,1109,오랜만에 연락한 친구 채팅 App대화,0,중간,2004,3005,,,4011,
,1110,동창회 회장 채팅 App대화,0,중간,2004,3006,,,4017,
,1111,집주인과의 채팅 App대화,0,어려움,2004,3007,1106,1106,4021,
,1112,집주인과의 전화 App대화,0,어려움,2003,3007,1106,1106,4024,
,1113,광고 전화 App 대화,0,중간,2003,3003,,,4029,
,,,,,,,,,,
//,은행 관련 이벤트,,,,,,,,,
,4004,월세 적게 보낸 만큼 다시 보내기,0,쉬움,2005,,,,,
//,도입부 이벤트,,,,,,,,,
,9001,시즌 종료 알림,0,쉬움,2002,"3009, 9010",9002,,,
,9002,시즌 종료 채팅App,0,쉬움,2004,3009,,,"10100, 6001",
